StudySite,Latitude,Longitude,Longitude.UTM,Latitude.UTM,habitat.type,dominant.tree,height.cm,angle,detect.obscured,cover.ground,termite.count.100m,termite.count.50m,termite.large.count.100m,termite.large.count.50m,habitat.number,tree,termites,fire.interval,poaching.all,poaching.high,boundary.distance,road.distance,road.major.distance,urema.distance,pan.distance,river.distance,settlement.distance,tree.100m,tree.250m,tree.500m,tree.1km,termites.100m,termites.250m,termites.500m,termites.1km,fire2015.date,fire2016.date,fire2017.date,pans.100m,pans.250m,pans.500m,tree.hansen,lion.dry,lion.wet,panscon.250m,poaching,panscon.offflood.250
H07,-18.95859,34.44962,652622.9841,7903127.104,3_CW,CA,-0.660986615,-0.01078179,1.577103326,-0.522090129,-0.249330092,-0.284463468,-0.139009261,-0.124966636,0.896964578,0.916651189,-0.452407181,0.086717732,-0.577477932,-0.417812735,0.236490086,-0.2762748,-0.165942013,-0.50334239,1.256167769,1.630589843,1.249590755,0.719975352,0.734314561,0.744895756,0.713139057,0.045006502,0.344629973,0.165145338,0.182011902,-0.954154849,NA,NA,-0.251784295,-0.288821429,-0.290458024,0.690982103,0.813105583,-1.012314677,-0.329289377,-0.544090748,-0.246277034
H09,-18.98015,34.45014,652658.1057,7900740.488,2.5_OCW,mix,-0.060089692,0.31267191,-0.623505966,0.058727073,-0.8599344,-0.967175791,-0.734763236,-0.806602832,0.298988193,0.240818337,2.210397959,0.558807671,-0.577477932,-0.417812735,-0.089252919,2.169842482,1.696282029,-0.016426357,4.364237785,2.014059782,0.749004245,0.828640521,0.831608593,0.921876073,1.170966983,0.312518746,0.9799968,1.31364131,1.463139534,NA,NA,NA,-0.251784295,-0.288821429,-0.333716959,0.830669403,0.813105583,-1.012314677,-0.329289377,-0.544090748,-0.246277034
H11,-19.00162,34.44932,652552.2044,7898364.99,3_CW,CA,0.54080723,0.959579309,1.577103326,-0.715695863,-0.8599344,-0.967175791,-0.734763236,-0.806602832,0.896964578,0.916651189,2.210397959,0.967562199,1.731667876,2.393416882,-0.40615496,1.201544642,0.625814199,0.494927585,0.139067367,1.386612177,0.390739828,0.796719193,0.557138383,0.81038332,1.369197249,1.354144216,0.125920266,0.355458498,0.64381212,NA,NA,-0.875021994,-0.251784295,-0.288821429,-0.314118505,1.169820905,0.813105583,0.22320886,-0.329289377,2.185194492,-0.246277034
H13,-19.02429,34.4497,652571.5229,7895855.634,3.5_CWF,SF,-0.060089692,0.31267191,-0.623505966,-1.064186184,-0.249330092,-0.284463468,-0.139009261,-0.124966636,1.494940964,0.916651189,-0.452407181,1.204776645,1.731667876,2.393416882,-0.847717702,0.578237832,0.159301698,1.038306594,1.027077913,0.512164652,-0.322101891,1.547885299,1.672529101,1.733486652,1.678032517,-0.703191638,0.231492192,1.440188646,1.312250614,1.540740013,1.75857842,NA,-0.251784295,-0.288821429,-0.251040429,1.825089574,-0.082014456,-0.345131963,-0.329289377,2.185194492,-0.246277034
I04,-18.92486,34.4683,654621.1054,7906843.928,1_SW,HY,2.94439492,0.636125609,1.577103326,-0.522090129,0.055972062,0.398248855,-0.734763236,-0.806602832,-1.494940964,-1.20389688,-0.452407181,-0.5354895,1.731667876,-0.417812735,1.181660414,-0.906465292,-0.951920867,-1.459059477,-0.434193969,-0.377501488,0.956138253,-1.701845884,-1.603329182,-1.458188176,-1.445168853,-1.259951353,-1.351030469,-1.402421951,-1.637809157,1.409703374,NA,NA,-0.251784295,-0.223851249,0.129125759,-1.218276381,0.813105583,-0.600473464,-0.221280769,0.820551813,-0.246277034
I06,-18.94756,34.46877,654649.7034,7904331.173,1.5_SOW,AR,-0.060089692,-0.01078179,-0.623505966,0.058727073,0.055972062,0.398248855,0.158867727,0.55666956,-0.896964578,-1.20389688,2.210397959,-0.862117469,-0.577477932,-0.417812735,0.806046486,-1.138096452,-1.125284791,-0.949533641,0.015024828,0.693081498,0.927908182,-0.715333819,-0.292696804,-0.142724544,-0.139658704,-0.859519064,-1.006514192,-1.06707716,-1.049364686,NA,NA,NA,-0.251784295,-0.288821429,0.01871546,-1.020475864,0.813105583,-1.012314677,-0.329289377,-0.544090748,-0.246277034
I08,-18.96937,34.46918,654672.7672,7901916.965,3_CW,AR,-0.660986615,0.636125609,-0.623505966,0.445938541,-0.8599344,-0.967175791,-0.734763236,-0.806602832,0.896964578,-0.292991728,-0.452407181,0.095564708,-0.577477932,-0.417812735,0.472609431,-0.171827957,-0.402083367,-0.424324393,2.820438862,1.79661727,1.138907433,0.685757697,0.752007663,0.640972972,0.482575476,-0.322822779,-0.845693052,-0.708271384,-0.560746312,NA,NA,NA,-0.251784295,-0.288821429,-0.333716959,0.160798296,0.813105583,-1.012314677,-0.329289377,-0.544090748,-0.246277034
I10,-18.99097,34.46956,654692.833,7899526.02,3_CW,mix,-0.660986615,0.959579309,-0.623505966,1.220361476,0.055972062,-0.284463468,0.158867727,-0.124966636,0.896964578,0.916651189,2.210397959,0.189645976,-0.577477932,-0.417812735,0.078647584,-0.830574393,-0.895120502,0.108066298,1.394903183,2.346336842,1.131312847,1.098631144,1.165867925,1.305050373,1.234235644,0.76561749,0.385275275,0.83523345,1.17746222,-0.725453436,NA,NA,-0.251784295,-0.288821429,-0.333716959,1.414906025,0.813105583,0.22320886,-0.329289377,-0.544090748,-0.246277034
I12,-19.01319,34.46984,654701.766,7897066.538,2_OW,mix,0.54080723,-0.657689189,-0.623505966,-0.715695863,-0.8599344,-0.284463468,-0.734763236,-0.124966636,-0.298988193,-1.20389688,2.210397959,-0.249018654,-0.577477932,-0.417812735,-0.502450407,-0.877036273,-0.929894865,0.656366467,-0.485828578,1.195729017,0.246193215,0.648021102,0.668081343,0.015437557,0.236182481,-0.467446506,-0.603933394,-0.719755828,-0.264147341,NA,NA,NA,-0.251784295,-0.061842263,0.091373436,-0.000275513,0.813105583,-0.600473464,0.709874332,-0.544090748,-0.246277034
I14,-19.03467,34.46753,654438.7419,7894691.23,1_SW,AR,-1.261883537,-0.01078179,-0.623505966,-0.715695863,0.361274215,-0.284463468,0.456744715,-0.124966636,-1.494940964,-1.20389688,-0.452407181,-0.179539487,-0.577477932,-0.417812735,-1.071469784,-1.037037849,1.530732632,1.135794997,-0.144293547,0.06906613,-0.621418297,-0.428106189,-0.170529827,-0.078826644,0.11070212,-0.363785505,0.250143111,0.404185206,-0.35961172,NA,NA,NA,-0.251784295,-0.175654337,-0.228728369,-0.038202371,-0.082014456,-1.012314677,0.216791481,-0.544090748,-0.246277034
J03,-18.91491,34.4889,656800.0799,7907926.996,1_SW,AX_FA,2.343497997,-1.628050288,1.577103326,1.994784412,-0.8599344,-0.967175791,-0.734763236,-0.806602832,-1.494940964,-0.195044935,2.210397959,-1.125900388,-0.577477932,-0.417812735,1.751540184,-1.077954769,-1.08027184,-1.844202399,-0.76151675,-1.186738849,0.268987179,-0.73090291,-1.297921777,-1.060762286,-1.610584855,1.366683841,-0.083815888,0.297270805,-0.881181777,NA,NA,NA,3.131322145,4.358697891,3.666272879,-0.196923032,-0.977134526,-1.012314677,-0.329289377,-0.544090748,-0.246277034
J05,-18.93744,34.48872,656760.1008,7905433.611,2_OW,HY,0.54080723,-0.981142889,1.577103326,-0.328484395,0.055972062,0.398248855,-0.734763236,-0.806602832,-0.298988193,-1.20389688,-0.452407181,0.056234498,1.731667876,-0.417812735,1.379447937,-0.623697817,-0.740284264,-1.278770089,-0.837954283,0.001311101,0.117820814,-0.316746086,0.309516042,0.478781253,0.247193456,-0.417287946,0.057298593,-0.034409851,-0.375695884,1.385833979,NA,NA,0.221226349,0.396500349,0.176067606,-0.917467833,-0.977134526,-0.188632309,2.507781982,0.820551813,-0.246277034
